Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48,Bin 49,Bin 50,Bin 51,Bin 52,Bin 53,Bin 54,Bin 55,Bin 56,Bin 57,Bin 58,Contrast,Dissimilarity,Homogenity,Energy,Correlation,ASM,Ring 1,Ring 2,Ring 3,Ring 4,Ring 5,Ring 6,Ring 7,Ring 8,Ring 9,Ring 10,Ring 11,Ring 12,Ring 13,Ring 14,Ring 15,Ring 16,Ring 17,Ring 18,Ring 19,Ring 20,Ring 21,Ring 22,Ring 23,Ring 24,Ring 25,Ring 26,Ring 27,Ring 28,Ring 29,Ring 30,Ring 31,Entropy,Mean,Median,Std Deviation,Kurtosis,Skewness,Person
0.0566043667,0,0,0,0,0,0.1854766804,0,0,0,0,0,0.1219935985,0,0,0,0,0,0,0.4749628487,0,0,0,0,0,0.9021890718,0,0,0,0,0,0,0.8294238683,0,0,0,0,0,0.2836019662,0,0,0,0,0,0,0.2514460448,0,0,0,0,0,2.9142546868,0,0,0,0,0,0.4244913123,1165.36945588,13.4324514991,0.5109293004,0.4461286984,0.9276286703,0.1990308155,0.242478808,0.3937485468,0.3835840054,0.3804293024,0.4026865019,0.374506123,0.5824064088,0.2988916203,0.4724830984,0.3716848352,0.4688484841,0.352401476,0.3969172463,0.4276241882,0.4093156327,0.4649180709,0.3822221683,0.3956063258,0.4927670173,0.4748460714,0.440620408,0.4270151078,0.3665199893,0.374864639,0.5241976867,0.3444193314,0.3547825605,0.2940949546,0.2602840146,0.3138350643,0.2794777695,14.038,1.49586,1.98824,0.700236,-0.7167522092,-0.7167522092,1
0.0508859168,0,0,0,0,0,0.2066929584,0,0,0,0,0,0.1438728852,0,0,0,0,0,0,0.699888546,0,0,0,0,0,1.3909922268,0,0,0,0,0,0,1.299579904,0,0,0,0,0,0.4409007773,0,0,0,0,0,0,0.3596822131,0,0,0,0,0,1.4461877001,0,0,0,0,0,0.4057613169,604.311699001,10.537344046,0.3145601597,0.1852835498,0.9635808188,0.0343299938,0.5094676499,0.4096914439,0.4020892063,0.5384606684,0.5662504357,0.331839249,0.3664216358,0.381020385,0.2788495842,0.2732862879,0.327603648,0.4216505911,0.3790283694,0.3389661684,0.3819042141,0.3950728875,0.3510919662,0.3044068561,0.3007085433,0.307683304,0.3379562392,0.2884185863,0.2829837304,0.3215432629,0.3809902379,0.4067118905,0.4205014853,0.3556959696,0.2118900877,0.1866427551,0.244544452,0,1.05879,0.756863,0.712408,-1.4584009667,-1.4584009667,1
0.0522948102,0,0,0,0,0,0.1939300412,0,0,0,0,0,0.121496342,0,0,0,0,0,0,0.5054612483,0,0,0,0,0,0.8701160265,0,0,0,0,0,0,0.8180698445,0,0,0,0,0,0.2989340421,0,0,0,0,0,0,0.2613911751,0,0,0,0,0,2.8880658436,0,0,0,0,0,0.4346850709,1189.478738,13.7547325103,0.5064499138,0.4431337079,0.9280085451,0.1963674831,0.2648052239,0.3563871598,0.4236109618,0.577106475,0.4286515355,0.4541216214,0.397781832,0.371961824,0.6066152727,0.4435142938,0.4754059933,0.3516849178,0.4898447447,0.4328478353,0.4375907723,0.4351057725,0.3696724088,0.3071136852,0.4145836939,0.4254730667,0.3499928334,0.4286371059,0.2942689526,0.3156751741,0.3345179611,0.3359650677,0.33834043,0.3560050045,0.3118412096,0.2967301116,0.291901154,14.0299,1.48904,1.98824,0.709161,-0.7648307694,-0.7648307694,1
0.1055012574,0,0,0,0,0,0.4125571559,0,0,0,0,0,0.22169353,0,0,0,0,0,0,0.758730567,0,0,0,0,0,1.3529521033,0,0,0,0,0,0,1.2003772291,0,0,0,0,0,0.5353795153,0,0,0,0,0,0,0.4237454275,0,0,0,0,0,0.6620141747,0,0,0,0,0,0.7714934842,781.196551048,14.7459925534,0.1679910485,0.0437067212,0.959669477,0.0019102775,0.3999100477,0.5110897764,0.372618711,0.4227498491,0.4624300723,0.2927847349,0.295449221,0.3662451376,0.4719445895,0.4493233204,0.5255073696,0.5149703266,0.3990514838,0.2877086644,0.2907597909,0.37681133,0.3142137386,0.341327298,0.4182319732,0.3957198501,0.3309961484,0.329325028,0.3077650713,0.3198151467,0.2692510262,0.2778741562,0.2532204697,0.2968105597,0.3483480527,0.397986068,0.4099819831,0,0.963374,0.727451,0.766872,-1.649605049,-1.649605049,1
0.0671296296,0,0,0,0,0,0.2422467993,0,0,0,0,0,0.135005144,0,0,0,0,0,0,0.5519547325,0,0,0,0,0,0.9870541838,0,0,0,0,0,0,0.8996199131,0,0,0,0,0,0.3284379287,0,0,0,0,0,0,0.2948731139,0,0,0,0,0,2.4197330819,0,0,0,0,0,0.5183899177,1309.44253707,15.1953883337,0.4381451234,0.3651000295,0.9240848136,0.1332980315,0.2197345644,0.4371161819,0.3504771853,0.2764585554,0.3769315091,0.4579839886,0.4233371099,0.4763916277,0.3502543907,0.3798420925,0.57119008,0.4752834914,0.4599889748,0.4119136278,0.3931227335,0.3286206272,0.3339676241,0.3013320098,0.443403872,0.1821285898,0.2599061707,0.4170160029,0.3200471791,0.2940798074,0.2343401683,0.2982982449,0.2972229994,0.2964596929,0.3223025446,0.3368589286,0.3364953207,14.0046,1.41778,1.94706,0.724534,-1.144615031,-1.144615031,1
0.0604995428,0,0,0,0,0,0.2260030864,0,0,0,0,0,0.1257230224,0,0,0,0,0,0,0.5444130087,0,0,0,0,0,0.983407636,0,0,0,0,0,0,0.9006144262,0,0,0,0,0,0.3259516461,0,0,0,0,0,0,0.2879943987,0,0,0,0,0,2.483464792,0,0,0,0,0,0.5063728852,1262.92755895,14.8312495917,0.4496327047,0.3780089555,0.9256700318,0.1428907704,0.3596306529,0.7057432427,0.345282629,0.3715433394,0.5870354053,0.3978176339,0.4605444895,0.4462000091,0.3168744738,0.3312140477,0.3867517346,0.3822104016,0.3036210985,0.3237525647,0.341029514,0.2992191988,0.3123567978,0.3095356439,0.3484167633,0.4163420076,0.4434328931,0.2680771335,0.2739413972,0.4061958587,0.4428269888,0.3600551095,0.3412382836,0.3430206799,0.3500372078,0.3297389733,0.3972731673,14.0119,1.43772,1.96471,0.719162,-1.0219635726,-1.0219635726,1
0.0602509145,0,0,0,0,0,0.2313071559,0,0,0,0,0,0.1395633288,0,0,0,0,0,0,0.5483081847,0,0,0,0,0,0.966003658,0,0,0,0,0,0,0.8847022177,0,0,0,0,0,0.3305927069,0,0,0,0,0,0,0.2919724508,0,0,0,0,0,2.4832161637,0,0,0,0,0,0.5085276635,1319.26281272,15.4810634267,0.444360772,0.3743697422,0.9253826724,0.1401527039,0.2644252495,0.5459240741,0.2787400135,0.4008150736,0.4797982258,0.6016266607,0.4737258112,0.3192803589,0.3270426495,0.3393841111,0.3563899323,0.3310439526,0.3618320914,0.5216175442,0.484154878,0.2606846118,0.2926003977,0.2533996303,0.3532345284,0.3828603599,0.4106377841,0.4662297439,0.3798672904,0.3270106016,0.2731255854,0.3049604522,0.324398843,0.3615909122,0.3689800398,0.3312319784,0.5423120304,0,1.41152,1.9549,0.733644,-1.1592560172,-1.1592560172,1
0.0507201646,0,0,0,0,0,0.1883773434,0,0,0,0,0,0.108899177,0,0,0,0,0,0,0.4786093964,0,0,0,0,0,0.8674639918,0,0,0,0,0,0,0.8484853681,0,0,0,0,0,0.2770547554,0,0,0,0,0,0,0.2682698903,0,0,0,0,0,2.907707476,0,0,0,0,0,0.4488568816,1147.79126004,13.1928408126,0.5160099412,0.4498772492,0.9263356016,0.2023895394,0.2414035393,0.3800238125,0.4072650036,0.414731654,0.4512184848,0.3850555638,0.4142578053,0.3500638004,0.4048428683,0.3097141394,0.3546956728,0.3657383309,0.4042425804,0.3733786512,0.4126370598,0.3952428664,0.4417487599,0.4592965429,0.5054464027,0.44673544,0.4791444065,0.46693064,0.3541805975,0.3557738734,0.2920693434,0.3167978409,0.281472873,0.2869440996,0.37432286,0.3591473549,0.3900192075,14.0495,1.51684,1.9902,0.688943,-0.5688097829,-0.5688097829,1
0.0581790123,0,0,0,0,0,0.2197045039,0,0,0,0,0,0.1273805441,0,0,0,0,0,0,0.5491369456,0,0,0,0,0,0.9940986511,0,0,0,0,0,0,0.9053383631,0,0,0,0,0,0.3252886374,0,0,0,0,0,0,0.2827732053,0,0,0,0,0,2.4810613855,0,0,0,0,0,0.5014831962,1273.52984519,14.8489385329,0.4506419045,0.377711537,0.9239616287,0.1426660052,0.5296740131,0.8052573555,0.336131396,0.4034148231,0.6736130219,0.4933560047,0.5241934991,0.3641687814,0.2580633422,0.3090822951,0.4523488494,0.4490416579,0.3273448636,0.3755034699,0.407805619,0.3769213188,0.3245576678,0.3385364669,0.3882897172,0.3307408909,0.3250571298,0.3444628125,0.3599763718,0.3669709347,0.586941748,0.5725013312,0.5134082879,0.5354843285,0.4867652889,0.4885591773,0.2904808095,14.017,1.44219,1.96667,0.714156,-0.9972704817,-0.9972704817,1
0.0474051212,0,0,0,0,0,0.221776406,0,0,0,0,0,0.1061642661,0,0,0,0,0,0,0.6011831276,0,0,0,0,0,1.0247628029,0,0,0,0,0,0,1.1934156379,0,0,0,0,0,0.3973908322,0,0,0,0,0,0,0.3814786237,0,0,0,0,0,1.8750714449,0,0,0,0,0,0.595796182,1015.15571233,12.2829969299,0.4042192563,0.2966705223,0.9444384368,0.0880133988,0.2094184803,0.4427707134,0.3397271925,0.4578721473,0.4915894957,0.2844444263,0.3117770862,0.5385127596,0.6227137754,0.3322951491,0.6347841312,0.4696156456,0.4524109817,0.4181638752,0.4639971826,0.404631724,0.473233025,0.3532790633,0.343000029,0.4441494951,0.4034004834,0.3098798724,0.2767087314,0.278780509,0.2512366364,0.4359112491,0.2797024419,0.3063237753,0.3202598354,0.2993951456,0.5271348141,0,1.40526,1.96274,0.745286,-1.305491383,-1.305491383,1
